words,808s & Heartbreak,Graduation,JESUS IS KING,Late Registration,My Beautiful Dark Twisted Fantasy,The College Dropout,The Life of Pablo,Yeezus,ye
alphabet,0,0,0,0,0,0,1,0,0
alright,0,0,0,1,1,0,1,0,0
altar,0,0,0,0,0,0,0,0,1
altima,0,0,0,0,0,1,0,0,0
amateur,0,0,0,0,0,0,1,0,0
amazement,0,0,0,0,1,0,0,0,0
amazes,0,0,0,0,1,0,0,0,0
amazing,1,1,0,2,0,0,0,0,0
amber,0,0,0,0,0,0,1,0,0
ambidextrous,0,0,0,0,0,1,0,0,0
ambition,0,0,0,1,0,1,0,0,0
ambulance,0,0,0,0,0,1,0,0,0
amen,0,0,0,1,0,0,0,0,0
amendment,0,0,4,0,0,0,0,0,0
america,0,0,0,2,2,0,0,1,0
american,1,0,0,0,1,2,0,0,0
amerie,0,0,0,1,0,0,0,0,0
amount,0,0,0,1,0,0,0,0,0
amsterdam,0,0,0,0,0,1,0,0,0
anaesthesia,0,0,0,1,0,0,0,0,0
anakin,0,0,0,1,0,0,0,0,0
anal,0,0,0,0,1,0,0,0,0
analogy,0,0,0,0,1,0,0,0,0
andre,0,0,0,0,0,0,1,0,0
andrew,0,0,0,0,1,0,0,0,0
andré,0,0,0,0,0,0,1,0,0
anemic,0,0,0,1,0,0,0,0,0
angel,0,0,2,2,2,2,0,0,0
angeles,0,0,0,0,0,0,1,0,0
angelou,0,0,0,1,0,0,0,0,0
angle,0,0,0,0,0,0,1,0,0
aniston,0,0,0,1,0,0,0,0,0
anita,0,0,0,0,0,1,0,0,0
ann,0,0,0,0,0,0,0,0,1
announcement,0,0,0,0,0,0,0,1,0
answer,0,0,0,2,1,1,0,0,0
answered,0,0,0,0,0,0,0,0,1
ant,0,0,4,0,0,0,0,0,1
anteater,0,0,0,0,0,0,1,0,0
anthem,0,0,0,0,1,0,0,0,0
anthony,0,0,0,0,0,0,1,0,0
anthrax,0,0,0,1,0,0,0,0,0
antiquated,0,0,0,0,0,0,1,0,0
apartament,0,0,0,1,0,0,0,0,0
apartheid,0,0,0,0,0,0,0,1,0
apartment,0,1,0,0,0,1,0,0,0
ape,0,0,0,0,0,0,0,0,1
apeshit,0,1,0,0,0,0,0,0,0
apiece,0,0,2,0,0,0,0,0,0
apollo,0,1,0,0,0,0,0,0,0
apollonia,0,1,0,0,0,0,0,0,0
apologing,0,1,0,0,0,0,0,0,0
apologize,0,0,0,0,0,2,0,0,0
app,0,0,0,0,0,0,1,0,0
appalled,0,0,0,0,1,0,0,0,0
apparel,0,0,0,0,1,0,0,0,0
appetite,0,0,0,0,1,0,1,0,0
applause,1,0,0,0,0,0,0,0,0
apple,0,0,2,0,0,0,1,0,0
appraise,0,0,2,0,0,0,0,0,0
appraised,0,0,0,0,0,0,1,0,0
appre,0,0,0,0,0,1,0,0,0
appreciated,0,0,0,0,0,1,0,0,0
approach,0,0,0,0,1,0,0,0,0
approachin,0,0,0,0,0,0,0,1,0
april,0,0,0,0,1,0,0,0,0
ar,0,0,0,1,0,3,0,0,0
arca,0,0,0,0,0,0,0,4,0
archbishop,0,0,0,0,0,1,0,0,0
argue,0,0,0,0,2,1,0,0,0
arguin,0,0,0,2,1,0,0,0,0
arguing,0,0,2,0,1,0,0,0,0
